,accuser_username,subtweet_evidence,subtweet_evidence_id,subtweeter_username,alleged_subtweet,alleged_subtweet_id
1029,UhnotherGamer,"@ZachZitney Every subtweet from kid “you’re going to have to pay 2.99 for each google search”

Gtfoooooo",943055534290169857,ZachZitney,"I just think a lot of you are super misinformed on the topic of net neutrality, that is all. #ReadUp",942997626634620928
1030,GrumpyYetAmusin,@tommymillions00 Trying to figure out if this is a pizza subtweet,943049121505538049,tommymillions00,Hell definitely sounds like a collapsing clothes horse,943048593446862848
1031,garnertaylor93,@stephadeliic subtweet,943044889075261440,stephadeliic,Being called badass is my fav,943029211953905665
1032,KaseTheBlerd,"@jonnyvinegar Also, don’t subtweet me like this.",943036230438211584,jonnyvinegar,"me: h-
gay who uses tumblr ""just for porn"": the dad from Disney's Replacements could raw me in front of my entire family",943034748380831744
1033,SheLove2niceee_,@LaidBackLonyai Lol but he worth a subtweet lol i fw it,943035130754600960,LaidBackLonyai,How are you confident enough to ask my LS for my number and not me lmao pussy,943033978113597441
1034,TheHardyLegacy,@SFMiracleRayven So after you say you’re not going to talk about it and ignoring my reply to your apology.... You subtweet this? 🙄,943030929211224065,SFMiracleRayven,"Blood doesn't make you family, it just makes you related.",943030611584876545
1035,nadiaXOrana,@kurdanian U always subtweet urself stap,943020970582953984,kurdanian,ʸᵉᵃʰ ᵘʰ ᶜᵃⁿ ᴵ ᵍᵉᵗ ᵘʰʰʰʰʰ new laugh pls,943016826472222720
1036,Kh11Kiana,@mayabrosch @bye_wrennnnnn wow a subtweet that i didn’t even realize was about me!! i don’t even do it anymore 🙄💚,943019828096385024,mayabrosch,don’t snap me your story pt. 53673638,942996788260171776
1037,CYD_cudi,@jborbz_23 Never been more honored by a subtweet,943019210371764224,jborbz_23,The only thing that’s gonna get me through this week is watching and living vicariously through the Conley family vacation snapchats,942880456353206272
1038,sami_poynter,@alexa_ruthless Way to subtweet me,943017253070442496,alexa_ruthless,Alexa “Did you know I’m allergic to raspberries?” Zelensky,943014950917750785
1039,Wake_Andd_Jake,@rickardKyra @kimalexaaa_ When u see someone subtweet themselves,943013672204382208,rickardKyra,i don't understand how people can't admit to being in the wrong. it's seriously so easy,942906032266686464
1040,rachael_warner,@Brian_J_Rivera Is this a subtweet about the kkk,943011633571467264,Brian_J_Rivera,if you wear too much white i don’t trust you,943010232988504064
1041,LaurenPrell,@penelohpe Lol subtweet af,943006915402985472,penelohpe,I hate being invited somewhere and then getting hit with “ok but can you drive?” Like huh?? Do you want me there or need a ride?,942549180819505152
1042,Fayleigh09,@lexiestwitta Girl you can NOT subtweet. I’ve always fuckin been there for you.,943003388513521664,lexiestwitta,People say they are for you but are they really,943002767886561281
1043,MaryBethAa,@KayleighJacobs That subtweet. We all know who you’re talking about.,943000950201114624,KayleighJacobs,Watching the smallest amount of power go right to people’s heads is honestly so entertaining,942995305888468992
1044,prettychels__,@MotorCity_T this a subtweet sis or no,942992171921297408,MotorCity_T,Skinny bitches really be thinking they tricking us we know y'all don't got no ass or not,942991892777783296
1045,AhmiMami,@marwa_niazi No need to subtweet. PLEASE feel free to give me a call if you want a further explanation.I was close… https://t.co/KAHUHUkUEy,942991655073824768,marwa_niazi,I'm just wondering how some people put up pictures of ppl on social media without consent ...,942986367465852928
1046,jtperez12,@DiegoTheFuego Damn so you just subtweet me instead...-.-,942989315734372352,DiegoTheFuego,Some people are just not good at making appropriate life choices lmao I hate messy people,942963382491205633
1047,WooBennyNMU,"@ohmyashley11 Plz,dont subtweet me",942986753257934849,ohmyashley11,"It's hard when people are consistently funny on here. You want to like every tweet, but not seem like a total creep. The struggle is real.",942923530865401856
1048,HausaThulsaD00M,@honestyredacted It seems like posts auto thread when u subtweet your own tweets,942985548309893120,honestyredacted,Do y'all got the thread button too or is this another exclusive?,942914236212277249
1049,dobrikcustard,@KianLawley Why are all of you tweets like this make me think of my crush irl like u tryna subtweet Fran er sum idk 🤷‍♀️,942976070701273088,KianLawley,"i don’t wanna read ur tweets, i wanna read ur mind",942594273609793536
1050,obakunbo,@rozordie Disregard my subtweet just now then. 😅,942974141002604544,rozordie,"Please don't hype me tonight, especially after being told I look better without makeup ☺️",942973770251214848
1051,ColorsWasShit,@ScarletPolice subtweet,942971859347283968,ScarletPolice,all final fantasy games are bad,942962824237613056
1052,HeadphoneSpace,@narcokitty404 Resisting the urge to RT this as a subtweet to someone else.,942971686412046336,narcokitty404,"tfw no bf to whisper ""log the fuck off"" as he comes inside me",942970067335163904
1053,nolanturf,@nitzbluv That just means you can subtweet as much as you want,942970874428137473,nitzbluv,If you're on a date and they say they don't use twitter that much -- what you responding,942969846828097536
1054,ElWalkhouse,@michelleguldan don't subtweet me,942969229858525184,michelleguldan,"You give a her a frog you found, push her down on the swings, or ignore her. That's how you flirt with girls!",942949767763714048
1055,ucantsydwithus_,@woIfahrd Yes you scare me because you subtweet people all the time and I'm scared I'll be next,942965224617009152,woIfahrd,everyone says i'm intimidating for some reason so hi am i intimidating,942805016620027910
1056,brittannnyyxo,@hellobrooklynox don’t subtweet me like that,942963153473867776,hellobrooklynox,"I could be cold, I could be ruthless, you know I could be just like you",942943246224850945
1057,mattmottern7,@vsaintlaurent This feels like a subtweet...,942958860947656704,vsaintlaurent,I’m the kind of asshole that backs into parking spots.,942954063674642432
1058,TravelByBubble,@PMPAfterdark I feel like this was a subtweet about me.,942957965161746432,PMPAfterdark,Spoiler alert: the average woman on Twitter could give the NSA a run for its money in Network and Traffic analysis.,942776528257110016
1059,Vatiannam,@Hatestolove555 @CheyenneBarioni why subtweet period when you see her around town all the time and can say it to her face 🤔,942957356106711041,CheyenneBarioni,no matter how much u watch his kid it will never be yours lmao,942608080797188096
1060,thatgirlgray,@theeyeofsauron_ Is this a subtweet against all the other songs,942957227987652609,theeyeofsauron_,Falling Slowly is absolutely the world's best song,942935157459341312
1061,DaLadybugMan,@PunishedHag I have this nagging paranoia that this one's supposed to be some sort of weird subtweet.,942955506141925376,PunishedHag,Star Wars Episode Sex: Lightning Returns of the Sleigh Beggy,942955038594310145
1062,CoreyWolfHart,"@mhanham vicious subtweet, but at who? 🤔",942953687944712196,mhanham,I have not had enough Manhattans tonight. 🥃,942953240924102656
1063,Hatestolove555,@CheyenneBarioni Lol stfu why subtweet her knowing she don’t even gotta Twitter?🧐,942951993890390016,CheyenneBarioni,no matter how much u watch his kid it will never be yours lmao,942608080797188096
1064,ashton_mackk17,@jenvlhyn I have a subtweet for this.,942951434668134400,jenvlhyn,Please do not get involved in other people’s business and then complain when people are in other people’s business😂😂,942947010457620480
1065,Ambuler_,@Gatoxfresco @ravenskyyy shut up y’all know how many times i subtweet i miss y’all lol but y’all don’t be catching them :(,942950361375084544,ravenskyyy,"knocked back 5 tecates after work, gonna smoke a blunt &amp; wrap gifts :’)",942949222478999552
1066,chelseacoel_,@_jamie_c did you just subtweet chemistry,942937955601182722,_jamie_c,"i hate it when i’m struggling with something &amp; then someone wants to come tell me “it’s easy” 

obviously it isn’t if im struggling!!",942574849414668289
1067,maiatanaashly,@aidan you subtweet a lot,942936583308828672,aidan,why you bother me when you know you don’t want me,942936125303242753
1068,_xLorenzo,@LettingItFly_ bro did you subtweet me lmfa,942935501883011074,LettingItFly_,Jay cutler is blessed he doesn't have a twitter bc a certain someone here would be all over his  mentions,942655690304360448
1069,SarahCosper,"@TheRichardClark Wait, is this a subtweet of a subtweet?",942934281437044736,TheRichardClark,"“You’re both right, and you’re mad at each other about it.” - Twitter in a nutshell",942933507604697088
1070,fantasy_spy,@bobbyhundreds @SweetBabyNicco Is this a subtweet? This feels like a subtweet. Which brand is he going at Nicco?,942931023398019073,bobbyhundreds,Streetwear was here long before you got here and will exist long after you leave.,942817470313742336
1071,90sTelllll,"@MademoiselleDez EVER. text, fb message , tweet , subtweet,ig message ,smoke flare .",942926151793762304,MademoiselleDez,"i won't ever read or respond to negative, angry, unreasonably long argumentative text messages. 
i'm an adult.",942908172993531904
1072,MewooTm,@Ryitus this the most direct and specific subtweet i ever fucken seen,942923919014576128,Ryitus,wow i jus googled ku'u ipo n it means sweetheart n wow it really be ya own homies givin u cute ass nicknames )':,942923770942992384
1073,zack_bell2,@samming_tatum subtweet much?,942922077329416198,samming_tatum,don't know why high school people have to dress up like kanye to come to the gym,942882661739180033
1074,RejoicefuI,@GamersGalaxyX3 why do ppl subtweet its as if ur asking for me to start beef w/ u likkle yute harry potter fag chef man dont chat,942920919856680960,GamersGalaxyX3,syn followed my for a day then unfollowed why do ppl do this lmaO,942838612273573889
1075,DaveEvansJr,"@ZachBrown_55 Don’t subtweet man, straight up tell @tae15adams what you think. Personally, I think Tae is right, th… https://t.co/EyytVcOpJY",942920687504822273,ZachBrown_55,"Look, don't play football if u don't wanna get hit or hurt. So stop crying about getting hit !!! You know what u sign up for.",942793345335775232
1076,misssalison,@JEFFFUCKINA don't subtweet me Ima text u I miss u,942918728466907136,JEFFFUCKINA,I ain’t nothin to you.,942890805773193218
