,Feature (Non-subtweet),Log Probability (Non-subtweet),Feature (Subtweet),Log Probability (Subtweet)
4274,$ 850 .,-12.969525092978847,bible,-12.369766695472117
4275,$ 8750,-12.969525092978847,. ask,-12.369827421181602
4276,$ 8750 super,-12.969525092978847,mind .,-12.369959642755743
4277,$ 890.9,-12.969525092978847,ignorant people,-12.37007818693331
4278,$ 890.9 million,-12.969525092978847,stop giving,-12.37012329339739
4279,"$ 9,200",-12.969525092978847,immaturity,-12.370231166579293
4280,"$ 9,200 year",-12.969525092978847,ready ...,-12.370394069747746
4281,$ 9.99,-12.969525092978847,random thoughts,-12.370461978371402
4282,$ 9.99 😭,-12.969525092978847,that's fine,-12.370538604043276
4283,$ 90,-12.969525092978847,f *,-12.370613918078641
4284,$ 90 plane,-12.969525092978847,. said,-12.370658952680648
4285,$ 9300,-12.969525092978847,😱,-12.37067568880897
4286,$ 9300 .,-12.969525092978847,vampires,-12.37068497956163
4287,$ 9444,-12.969525092978847,sword,-12.370757097137227
4288,$ 9444 holding,-12.969525092978847,true !,-12.370784316219602
4289,$ 9800,-12.969525092978847,80,-12.370797110582995
4290,$ 9800 -,-12.969525092978847,identities,-12.370847764650804
4291,$ :,-12.969525092978847,music taste,-12.370852999354296
4292,$ : predicted,-12.969525092978847,💦,-12.370876103287609
4293,$ alts,-12.969525092978847,thought .,-12.370890495630812
4294,$ alts pump,-12.969525092978847,pieces,-12.370892032340073
4295,$ amzn,-12.969525092978847,grew,-12.370931264222081
4296,$ amzn $,-12.969525092978847,don't stop,-12.370987817899522
4297,$ audusd,-12.969525092978847,", person",-12.371055400507439
4298,$ audusd daily,-12.969525092978847,bolton,-12.371269466179566
4299,$ backwards,-12.969525092978847,year .,-12.37130179021125
4300,$ backwards usual,-12.969525092978847,yankee,-12.371316558067512
4301,$ bch,-12.969525092978847,it's gonna,-12.371374961314913
4302,$ bch best,-12.969525092978847,"( """,-12.371540135480759
4303,$ bnb,-12.969525092978847,sorry !,-12.371560917403922
4304,$ bnb worst,-12.969525092978847,people days,-12.371577349799189
