,Feature (Non-subtweet),Log Probability (Non-subtweet),Feature (Subtweet),Log Probability (Subtweet)
2118,""" australian",-12.969525092978847,rock,-12.072042121029758
2119,""" australian government",-12.969525092978847,professional,-12.072088055177286
2120,""" avengers",-12.969525092978847,creator,-12.072402199146236
2121,""" avengers :",-12.969525092978847,you're good,-12.072518612818927
2122,""" average",-12.969525092978847,follow .,-12.072672691516374
2123,""" average looks",-12.969525092978847,locals,-12.072832668633968
2124,""" awake",-12.969525092978847,world .,-12.073188499802118
2125,""" awake """,-12.969525092978847,<3,-12.073484543143683
2126,""" award",-12.969525092978847,", got",-12.07353502454193
2127,""" award simply",-12.969525092978847,covered,-12.073617307415452
2128,""" award-winning",-12.969525092978847,they'd,-12.073617358825704
2129,""" award-winning feminist",-12.969525092978847,arms,-12.073798219307195
2130,""" away",-12.969525092978847,kpop,-12.073813996223894
2131,""" away """,-12.969525092978847,make friends,-12.07400032450921
2132,""" away .",-12.969525092978847,animals,-12.07420404767471
2133,""" awful """,-12.969525092978847,annoys,-12.07455777379672
2134,""" awoo",-12.969525092978847,i'm mad,-12.074765198276245
2135,""" awoo ~",-12.969525092978847,places,-12.074920727610976
2136,""" ayy",-12.969525092978847,men trash,-12.075151571081722
2137,""" ayy i'm",-12.969525092978847,screenshot,-12.075532620805557
2138,""" az",-12.969525092978847,sides,-12.075773765418717
2139,""" az teach",-12.969525092978847,just need,-12.075909019869329
2140,""" barber",-12.969525092978847,aware,-12.076216632004876
2141,""" barber """,-12.969525092978847,guys .,-12.076299267983556
2142,""" barred",-12.969525092978847,i'm happy,-12.076339814327001
2143,""" barred """,-12.969525092978847,tinder,-12.076562961157313
2144,""" based rumors",-12.969525092978847,", feel",-12.076667931713576
2145,""" basically means",-12.969525092978847,following ?,-12.07680056669498
2146,""" beast",-12.969525092978847,channel,-12.077137325517015
2147,""" beast ,",-12.969525092978847,spent,-12.077692397397035
2148,""" beautiful",-12.969525092978847,wasting time,-12.077950156030344
2149,""" beautiful """,-12.969525092978847,wasting,-12.077950156030344
2150,""" beautiful boy",-12.969525092978847,disrespect,-12.078281584870592
2151,""" beautiful just",-12.969525092978847,exes,-12.078531295514756
2152,""" beautiful trash",-12.969525092978847,", time",-12.079122741296375
2153,""" bedroom",-12.969525092978847,cancer,-12.079353078998935
2154,""" bedroom .",-12.969525092978847,skinny,-12.079392333559888
2155,""" beheaded",-12.969525092978847,"bad ,",-12.07960026777356
2156,""" beheaded .",-12.969525092978847,"yeah ,",-12.079603057847383
2157,""" believe he's",-12.969525092978847,", did",-12.07961836099686
2158,""" best accounting",-12.969525092978847,talked,-12.080241808730877
2159,""" best coined",-12.969525092978847,pro,-12.080319982283447
2160,""" best int'l",-12.969525092978847,hits,-12.080509981977741
2161,""" best men's",-12.969525092978847,u think,-12.080703869612789
2162,""" best shot",-12.969525092978847,threads,-12.08071698333109
2163,""" best state",-12.969525092978847,sugar,-12.081051636399112
2164,""" best thing",-12.969525092978847,monday,-12.081215793481169
2165,""" best wireless",-12.969525092978847,fixed,-12.081305436256354
2166,""" big announcement",-12.969525092978847,prolly,-12.081749760121474
2167,""" big bang",-12.969525092978847,build,-12.081765721494492
2168,""" big boy",-12.969525092978847,blow,-12.081940999298432
2169,""" big mistake",-12.969525092978847,moved,-12.082328014686595
2170,""" big sister",-12.969525092978847,"morning ,",-12.082448218567759
2171,""" bihar",-12.969525092978847,corny,-12.082842694790058
2172,""" bihar eastern",-12.969525092978847,duty,-12.083015766043149
2173,""" billions",-12.969525092978847,demand,-12.08335715670775
2174,""" billions """,-12.969525092978847,spanish,-12.083630001164833
2175,""" bitch depressed",-12.969525092978847,judge,-12.083714366566603
2176,""" bitch tryna",-12.969525092978847,can't .,-12.083894175808943
2177,""" bitches """,-12.969525092978847,"fuck ,",-12.084248900165315
2178,""" black hat",-12.969525092978847,brings,-12.08476290892366
2179,""" black i'd",-12.969525092978847,activity,-12.08550108425283
2180,""" black people",-12.969525092978847,h,-12.08556694241533
2181,""" black print",-12.969525092978847,smash,-12.085594958143663
2182,""" blame",-12.969525092978847,eats,-12.085813623296625
2183,""" blame homeowner",-12.969525092978847,. bitch,-12.085867764789228
2184,""" bledsoe",-12.969525092978847,pointing,-12.085938242665506
2185,""" bledsoe sucks",-12.969525092978847,gc,-12.086063858545673
2186,""" bleeding",-12.969525092978847,g,-12.086183162302197
2187,""" bleeding .",-12.969525092978847,. lol,-12.086337626445042
2188,""" blocked little",-12.969525092978847,... like,-12.086743230752447
2189,""" blush",-12.969525092978847,dang,-12.086798807078154
2190,""" blush """,-12.969525092978847,years .,-12.086972662586282
2191,""" bollocks",-12.969525092978847,stronger,-12.08701738326801
2192,""" bollocks &",-12.969525092978847,☕ ️,-12.087064766681149
2193,""" bonamana",-12.969525092978847,☕,-12.087064766681149
2194,""" bonamana """,-12.969525092978847,just saying,-12.087244877502618
2195,""" bone",-12.969525092978847,""" know",-12.087583568391375
2196,""" bone """,-12.969525092978847,"life ,",-12.087995389454779
2197,""" boo",-12.969525092978847,"people say """,-12.088117042559778
2198,""" boo """,-12.969525092978847,steal,-12.08830325875202
2199,""" boo guys",-12.969525092978847,retarded,-12.088315119065406
2200,""" booed",-12.969525092978847,dedicated,-12.0885717826693
2201,""" booed """,-12.969525092978847,shoot,-12.08865732225516
2202,""" booed .",-12.969525092978847,update,-12.088763438636917
2203,""" border",-12.969525092978847,murder,-12.089121143683608
2204,""" border 16",-12.969525092978847,", right",-12.089407352977684
2205,""" boring",-12.969525092978847,helpful,-12.089408550079574
2206,""" boring uninspired",-12.969525092978847,humble,-12.089537567793945
2207,""" boss",-12.969525092978847,🙏,-12.090520624217216
2208,""" boss """,-12.969525092978847,freedom,-12.09067542112256
2209,""" botw",-12.969525092978847,wears,-12.09117044167652
2210,""" botw ost",-12.969525092978847,lmfaooo,-12.09133372646374
2211,""" bow-tan-ist",-12.969525092978847,makes happy,-12.091796067959562
2212,""" bow-tan-ist ?",-12.969525092978847,convince,-12.09215105299571
2213,""" boycotts",-12.969525092978847,confirmed,-12.092343109698623
2214,""" boycotts """,-12.969525092978847,way make,-12.09258881234288
2215,""" break",-12.969525092978847,"! ! """,-12.092654216922469
2216,""" break arm",-12.969525092978847,lowkey,-12.092731024143822
2217,""" break-in",-12.969525092978847,points,-12.092963619455201
2218,""" break-in """,-12.969525092978847,"wow ,",-12.092970546319222
2219,""" breeding",-12.969525092978847,phase,-12.093368156402901
2220,""" breeding concept",-12.969525092978847,place .,-12.093387570810869
2221,""" brilliance",-12.969525092978847,2016,-12.093595340832582
2222,""" brilliance can't",-12.969525092978847,killing,-12.093650331275903
2223,""" brown",-12.969525092978847,white people,-12.093719028948241
2224,""" brown pardoned",-12.969525092978847,louder,-12.093776229061302
2225,""" brown people",-12.969525092978847,despite,-12.093875283613936
2226,""" brown tape",-12.969525092978847,student,-12.09434619988661
2227,""" browns",-12.969525092978847,👏 🏼,-12.094476236642173
2228,""" browns 1",-12.969525092978847,can't handle,-12.09453130727888
2229,""" brunch",-12.969525092978847,dollars,-12.094655740439805
2230,""" brunch """,-12.969525092978847,switch,-12.09500695836127
2231,""" build",-12.969525092978847,code,-12.095518545390286
2232,""" build friendship",-12.969525092978847,tits,-12.095635016531709
2233,""" bully",-12.969525092978847,expensive,-12.095917888130757
2234,""" bully bully",-12.969525092978847,supportive,-12.095987819157623
2235,""" bumper",-12.969525092978847,. don't know,-12.096129260567292
2236,""" bumper stickers",-12.969525092978847,sorry don't,-12.09613497394184
2237,""" buried",-12.969525092978847,men .,-12.096733012627075
2238,""" buried people",-12.969525092978847,easier,-12.096948758021393
2239,""" business advisor",-12.969525092978847,attacking,-12.098257611480316
2240,""" business dealings",-12.969525092978847,cleaning,-12.098420464257675
2241,""" california referring",-12.969525092978847,know ...,-12.098541457187205
2242,""" calling just",-12.969525092978847,fucking shit,-12.098948023505484
2243,""" came ,",-12.969525092978847,wise,-12.099468668275705
2244,""" camera",-12.969525092978847,negativity,-12.09951522927769
2245,""" camera .",-12.969525092978847,whore,-12.099697512699219
2246,""" can't believe",-12.969525092978847,chicks,-12.099841312222845
2247,""" can't fault",-12.969525092978847,casually,-12.09993140317127
2248,""" can't stop",-12.969525092978847,hated,-12.099951058211596
2249,""" cancel order",-12.969525092978847,lovely,-12.100176146107499
2250,""" casting",-12.969525092978847,talkin,-12.100266732669192
2251,""" casting fresno",-12.969525092978847,doesn't want,-12.10035383146403
2252,""" cat scratch",-12.969525092978847,scene,-12.100970275836785
2253,""" catch",-12.969525092978847,. oh,-12.101839280001183
2254,""" catch """,-12.969525092978847,related,-12.10236881153867
2255,""" catch ball",-12.969525092978847,visit,-12.102576461460952
2256,""" causal",-12.969525092978847,misses,-12.103724558370857
2257,""" causal model",-12.969525092978847,", y'all",-12.103751797874807
2258,""" cause i'm",-12.969525092978847,defending,-12.103934866955464
2259,""" celebrate",-12.969525092978847,really can't,-12.103946367905174
2260,""" celebrate """,-12.969525092978847,breath,-12.104007012394483
2261,""" censoring",-12.969525092978847,trust people,-12.10411403595767
2262,""" censoring women",-12.969525092978847,fear,-12.104207863323447
2263,""" censorship",-12.969525092978847,glasses,-12.104274326958226
2264,""" censorship """,-12.969525092978847,press,-12.104441112323602
2265,""" central",-12.969525092978847,hypocrisy,-12.104527336269062
2266,""" central americans",-12.969525092978847,teacher,-12.1046138051698
2267,""" ceos",-12.969525092978847,choke,-12.104673380922787
2268,""" ceos fortune",-12.969525092978847,really want,-12.10506388054403
2269,""" certificate",-12.969525092978847,useless,-12.105108223375986
2270,""" certificate valid",-12.969525092978847,person :,-12.105192937712312
2271,""" certified",-12.969525092978847,crap,-12.10530790543193
2272,""" certified ,",-12.969525092978847,social media .,-12.105556439570037
2273,""" cfpb's",-12.969525092978847,surrounded,-12.105598872260124
2274,""" cfpb's mulvaney",-12.969525092978847,particular,-12.10570726041944
2275,""" cg5",-12.969525092978847,workout,-12.105726759538769
2276,""" cg5 (",-12.969525092978847,tattoo,-12.105741038342291
2277,""" chant",-12.969525092978847,football,-12.106212944808837
2278,""" chant ?",-12.969525092978847,. best,-12.1064713840526
2279,""" chant erupts",-12.969525092978847,"think ,",-12.106717462802909
2280,""" charitable",-12.969525092978847,don't speak,-12.107086399516131
2281,""" charitable organization",-12.969525092978847,pet peeve :,-12.107287390931463
2282,""" cheating",-12.969525092978847,peeve :,-12.107287390931463
2283,""" cheating """,-12.969525092978847,thot,-12.10748090942672
2284,""" checkout",-12.969525092978847,t-shirt,-12.10752341617128
2285,""" checkout fella",-12.969525092978847,picking,-12.107681691860693
2286,""" cheers",-12.969525092978847,sigh,-12.107800575706257
2287,""" cheers """,-12.969525092978847,tool,-12.107809637063976
2288,""" chemical",-12.969525092978847,universe,-12.108130257385847
2289,""" chemical attack",-12.969525092978847,unfollowing,-12.10815167862024
2290,""" chicks """,-12.969525092978847,... can't,-12.108385439673349
2291,""" child",-12.969525092978847,vampire,-12.108551230906986
2292,""" child isn't",-12.969525092978847,. ',-12.108706834307682
2293,""" cisgender",-12.969525092978847,really just,-12.108723537514209
2294,""" cisgender """,-12.969525092978847,warm,-12.108919371162784
2295,""" cisgendered",-12.969525092978847,appearance,-12.108937953947525
2296,""" cisgendered """,-12.969525092978847,feel need,-12.109063570285194
2297,""" city",-12.969525092978847,? it's,-12.109476691639308
2298,""" city organization",-12.969525092978847,wide,-12.109744788672305
2299,""" claim right",-12.969525092978847,🖕,-12.109801601602742
2300,""" clashes",-12.969525092978847,pregnant,-12.110111248523632
2301,""" clashes """,-12.969525092978847,wild .,-12.110438870482572
2302,""" clear .",-12.969525092978847,""" "" """,-12.110936811064095
2303,""" clear person",-12.969525092978847,general,-12.111052067208158
2304,""" clearly panicked",-12.969525092978847,celebrities,-12.111186372767127
2305,""" clearly superior",-12.969525092978847,groups,-12.111654274467755
2306,""" closed",-12.969525092978847,fake people,-12.111713982018877
2307,""" closed eyes",-12.969525092978847,smells,-12.111821345504005
2308,""" cnn",-12.969525092978847,strangers,-12.111862413486477
2309,""" cnn fake",-12.969525092978847,white girls,-12.112148659269216
2310,""" cohen",-12.969525092978847,bottle,-12.112246852665827
2311,""" cohen raided",-12.969525092978847,au,-12.11238519079892
2312,""" collages",-12.969525092978847,. guess,-12.112735762345844
2313,""" collages """,-12.969525092978847,beer,-12.112823055072337
2314,""" collusion",-12.969525092978847,creative,-12.112875469227484
2315,""" collusion """,-12.969525092978847,wack,-12.11296639496033
2316,""" combat",-12.969525092978847,friendly,-12.112988104365074
2317,""" combat """,-12.969525092978847,just can't,-12.113459756788245
2318,""" come """,-12.969525092978847,badly,-12.11439471423737
2319,""" come wealthy",-12.969525092978847,push,-12.114546853928646
2320,""" comes white",-12.969525092978847,want friends,-12.114918710779513
2321,""" comic",-12.969525092978847,grow .,-12.114970180995424
2322,""" comic effect",-12.969525092978847,villain,-12.11557056983087
2323,""" commemorate",-12.969525092978847,unlike,-12.11557973314932
2324,""" commemorate craven",-12.969525092978847,2k18,-12.115858317297425
2325,""" communications",-12.969525092978847,cared,-12.116556702483509
2326,""" communications 🚨",-12.969525092978847,mistake,-12.116910796225975
2327,""" compassion",-12.969525092978847,you're just,-12.117082454670607
2328,""" compassion .",-12.969525092978847,like they're,-12.11717301803482
2329,""" complaining",-12.969525092978847,arent,-12.117440254304464
2330,""" complaining """,-12.969525092978847,checking,-12.11748220622587
2331,""" completely",-12.969525092978847,. dont,-12.1175543451251
2332,""" completely utterly",-12.969525092978847,dollar,-12.117595746326174
2333,""" completely wrong",-12.969525092978847,lies,-12.118539521949904
2334,""" comprehensive",-12.969525092978847,don't let,-12.11856197247917
2335,""" comprehensive response",-12.969525092978847,shy,-12.118666208150803
2336,""" condemn",-12.969525092978847,i'm convinced,-12.118694765859813
2337,""" condemn violence",-12.969525092978847,twitter com,-12.118776263082104
2338,""" condolences",-12.969525092978847,sub tweeting,-12.119106188904928
2339,""" condolences card",-12.969525092978847,day ?,-12.119343965528476
2340,""" conducted",-12.969525092978847,people world,-12.120297564249599
2341,""" conducted extensive",-12.969525092978847,people don't like,-12.120310267678262
2342,""" confident",-12.969525092978847,pair,-12.120340929843765
2343,""" confident beginning",-12.969525092978847,analysis,-12.12038803916512
2344,""" confused",-12.969525092978847,reality,-12.120398497491617
2345,""" confused mixes",-12.969525092978847,younger,-12.120600991588656
2346,""" confusing",-12.969525092978847,entirely,-12.120691231981784
2347,""" confusing """,-12.969525092978847,don't shit,-12.12069372688806
2348,""" conservatism",-12.969525092978847,we'll,-12.120922744461367
2349,""" conservatism inherently",-12.969525092978847,terms,-12.121012279014149
2350,""" conservative",-12.969525092978847,mans,-12.12102291272678
2351,""" conservative """,-12.969525092978847,"fans ,",-12.121131979647656
2352,""" conservative .",-12.969525092978847,😅,-12.121275257947266
2353,""" conservative tv",-12.969525092978847,golf,-12.121394421684352
2354,""" conservatives :",-12.969525092978847,i'm good,-12.121572456280926
2355,""" constant",-12.969525092978847,talent,-12.12158039403343
2356,""" constant horrible",-12.969525092978847,camera,-12.122377387490694
2357,""" content",-12.969525092978847,y'all just,-12.122595341707882
2358,""" content .",-12.969525092978847,bite,-12.122859268388009
2359,""" conversation",-12.969525092978847,? asking,-12.122870980109877
2360,""" conversation partner",-12.969525092978847,announce,-12.123151326277101
2361,""" copyrighted",-12.969525092978847,search,-12.123829505139966
2362,""" copyrighted """,-12.969525092978847,don't look,-12.123835086642027
2363,""" corporates",-12.969525092978847,failed,-12.123887695961137
2364,""" corporates number",-12.969525092978847,people can't,-12.123951774230832
2365,""" correct record",-12.969525092978847,novel,-12.124215794433084
2366,""" correction",-12.969525092978847,relevant,-12.124331881595866
2367,""" correction """,-12.969525092978847,comic,-12.12504698141627
2368,""" costume",-12.969525092978847,position,-12.125061404723834
2369,""" costume just",-12.969525092978847,com,-12.125139002476377
2370,""" cowboys",-12.969525092978847,kick,-12.125187197221527
2371,""" cowboys going",-12.969525092978847,emoji,-12.125384714597066
2372,""" crashed",-12.969525092978847,laughing,-12.125428446327257
2373,""" crashed """,-12.969525092978847,streaming,-12.12544407818207
2374,""" crawling",-12.969525092978847,struggle,-12.125964119332316
2375,""" crawling """,-12.969525092978847,dreams,-12.12597092244132
2376,""" crazy",-12.969525092978847,easily,-12.126048931863476
2377,""" crazy game",-12.969525092978847,i'd like,-12.126343201986455
2378,""" cream-to-powder",-12.969525092978847,want know,-12.126589804107484
2379,""" cream-to-powder """,-12.969525092978847,😢,-12.12719442350591
2380,""" create",-12.969525092978847,slow,-12.127259793714153
2381,""" create movement",-12.969525092978847,", there's",-12.127601249238108
2382,""" credit .",-12.969525092978847,sold,-12.12786348761366
2383,""" cried",-12.969525092978847,accidentally,-12.128001057116272
2384,""" cried heard",-12.969525092978847,cop,-12.128108207118906
2385,""" crime",-12.969525092978847,crack,-12.12854909428729
2386,""" crime ,",-12.969525092978847,it's important,-12.128620438203018
2387,""" criminal",-12.969525092978847,works .,-12.128750980332448
2388,""" criminal activities",-12.969525092978847,", here's",-12.129236873273873
2389,""" crisis",-12.969525092978847,backwards,-12.129320499004693
2390,""" crisis post-hope",-12.969525092978847,annoying people,-12.130170837636328
2391,""" criticize",-12.969525092978847,recent,-12.130231463833193
2392,""" criticize """,-12.969525092978847,. need,-12.130577929183259
2393,""" culture taint",-12.969525092978847,spaces,-12.13062572370878
2394,""" curious",-12.969525092978847,example,-12.130658415068345
2395,""" curious .",-12.969525092978847,regret,-12.13093680495524
2396,""" curious mathematician",-12.969525092978847,", i'm just",-12.131025152850627
2397,""" cutting",-12.969525092978847,officially,-12.131229850748406
2398,""" cutting free",-12.969525092978847,bitching,-12.131605251871287
2399,""" dad",-12.969525092978847,author,-12.131609899146733
2400,""" dad annoying",-12.969525092978847,interactions,-12.131663243698
2401,""" dad indiana's",-12.969525092978847,don't fucking,-12.132776480794572
2402,""" damn kid",-12.969525092978847,rules,-12.132778575132836
2403,""" damn mechaphile",-12.969525092978847,counter,-12.132877482335285
2404,""" dandruff",-12.969525092978847,lorde,-12.132927939083977
2405,""" dandruff """,-12.969525092978847,annoy,-12.132935718862322
2406,""" dc",-12.969525092978847,texted,-12.132943334983246
2407,""" dc bathman",-12.969525092978847,youtuber,-12.133698777022515
2408,""" dead",-12.969525092978847,windows,-12.133830106453537
2409,""" dead .",-12.969525092978847,harder,-12.133841459433325
2410,""" deal !",-12.969525092978847,underrated,-12.133925282436003
2411,""" death",-12.969525092978847,window,-12.134071420583254
2412,""" death sentence",-12.969525092978847,you're fucking,-12.134117876978937
2413,""" death threats",-12.969525092978847,fuck u,-12.134242849520518
2414,""" debate",-12.969525092978847,teeth,-12.134385192572037
2415,""" debate ?",-12.969525092978847,sisters,-12.134455715135177
2416,""" decade",-12.969525092978847,ears,-12.135082537874865
2417,""" decade change",-12.969525092978847,really bad,-12.135453517663398
2418,""" decorum",-12.969525092978847,user,-12.13572832437722
2419,""" decorum ,",-12.969525092978847,vore,-12.135768054724773
2420,""" deep monstrous",-12.969525092978847,likes .,-12.135925175923013
2421,""" deep state",-12.969525092978847,god damn,-12.136163799182375
2422,""" deeply sorry",-12.969525092978847,raise,-12.136166382780994
2423,""" defamation",-12.969525092978847,lewd,-12.136178145919084
2424,""" defamation """,-12.969525092978847,40,-12.136339106763605
2425,""" deliberate",-12.969525092978847,blocks,-12.136542711022294
2426,""" deliberate -",-12.969525092978847,iphone,-12.137248739683336
2427,""" democratic",-12.969525092978847,ready player,-12.13731132437649
2428,""" democratic party",-12.969525092978847,bitch 😂,-12.13753454358233
2429,""" derailing",-12.969525092978847,just stop,-12.137767656278584
2430,""" derailing """,-12.969525092978847,. yes,-12.137814269276419
2431,""" despacito",-12.969525092978847,civil,-12.137992814656867
2432,""" despacito """,-12.969525092978847,proper,-12.138621358194746
2433,""" despite",-12.969525092978847,rip,-12.138662661508793
2434,""" despite declaring",-12.969525092978847,app,-12.13868242044881
2435,""" did . . .",-12.969525092978847,"* """,-12.139056800050387
2436,""" did thing",-12.969525092978847,horrible,-12.139546613174495
2437,""" didi",-12.969525092978847,jersey,-12.139549511308541
2438,""" didi gregorius",-12.969525092978847,confident,-12.139796962547964
2439,""" didn't play",-12.969525092978847,actors,-12.139831714107759
2440,""" didn't think",-12.969525092978847,colleagues,-12.140069202579948
2441,""" died",-12.969525092978847,sub tweet .,-12.140452821278899
2442,""" died ,",-12.969525092978847,awesome,-12.140690881493292
2443,""" discord playing",-12.969525092978847,. don't @,-12.140965924013107
2444,""" discussing",-12.969525092978847,draft,-12.141133875710922
2445,""" discussing careers",-12.969525092978847,1st,-12.141510391540452
2446,""" disgrace",-12.969525092978847,distance,-12.141722975884685
2447,""" disgrace """,-12.969525092978847,validation,-12.141773511307898
2448,""" display",-12.969525092978847,inspired,-12.14199465338156
2449,""" display interesting",-12.969525092978847,➌'s,-12.142041216718424
2450,""" disrespectful",-12.969525092978847,identify,-12.142487393685832
2451,""" disrespectful """,-12.969525092978847,drafts,-12.142837068602052
2452,""" distinguished",-12.969525092978847,rights,-12.142839591374676
2453,""" distinguished """,-12.969525092978847,millennial,-12.142893282177454
2454,""" distraction",-12.969525092978847,dry,-12.142929700149464
2455,""" distraction boys",-12.969525092978847,"want ,",-12.142980047514893
2456,""" dmt",-12.969525092978847,pronounce,-12.143373097354294
2457,""" dmt """,-12.969525092978847,receive,-12.143445888212735
2458,""" does bring",-12.969525092978847,deeply,-12.14351810912043
2459,""" does north",-12.969525092978847,people just don't,-12.143638158905935
2460,""" does sight",-12.969525092978847,people post,-12.143650301829462
2461,""" does trump",-12.969525092978847,begin,-12.14366053500314
2462,""" does violate",-12.969525092978847,cardi,-12.143685270768275
2463,""" doesn't """,-12.969525092978847,like tweets,-12.143686440242028
2464,""" doesn't hate",-12.969525092978847,voices,-12.143878533995784
2465,""" doesn't require",-12.969525092978847,interview,-12.144887018933952
2466,""" dogs",-12.969525092978847,"things ,",-12.145268836573866
2467,""" dogs playing",-12.969525092978847,snack,-12.14554291218694
2468,""" doing reading",-12.969525092978847,? :,-12.145681728359968
2469,""" don't confront",-12.969525092978847,fellow,-12.145749759027163
2470,""" don't dm",-12.969525092978847,bottoms,-12.14579295946489
2471,""" don't exist",-12.969525092978847,senior,-12.14582183830089
2472,""" don't faculties",-12.969525092978847,huh ?,-12.145927787826944
2473,""" don't fake",-12.969525092978847,i'm getting,-12.146057893523214
2474,""" don't fundamentally",-12.969525092978847,higher,-12.146276953637274
2475,""" don't know",-12.969525092978847,meal,-12.1469042309501
2476,""" don't lemming",-12.969525092978847,research,-12.147531262314633
2477,""" don't make",-12.969525092978847,trolls,-12.14759726805329
2478,""" don't mean",-12.969525092978847,16,-12.147724747102178
2479,""" don't moving",-12.969525092978847,u .,-12.148288239798935
2480,""" don't say",-12.969525092978847,quickly,-12.148351556649303
2481,""" don't says",-12.969525092978847,real friends,-12.148517143158685
2482,""" don't send",-12.969525092978847,chocolate,-12.148540346939035
2483,""" don't what's",-12.969525092978847,vape,-12.148652436416057
2484,""" don't women",-12.969525092978847,help .,-12.148713952428471
2485,""" douma",-12.969525092978847,unsolicited,-12.148716680235374
2486,""" douma reported",-12.969525092978847,colors,-12.149145890053022
2487,""" dress",-12.969525092978847,omfg,-12.149298911195467
2488,""" dress """,-12.969525092978847,ugly ass,-12.14941411418738
2489,""" dry",-12.969525092978847,filled,-12.149801904168296
2490,""" dry powdery",-12.969525092978847,peeps,-12.150090587369789
2491,""" dude """,-12.969525092978847,stalking,-12.1505873413739
2492,""" déclassé",-12.969525092978847,hey guys,-12.15071733824635
2493,""" déclassé ,",-12.969525092978847,", dont",-12.150912758310232
2494,""" eagle",-12.969525092978847,mutual,-12.151034061739784
2495,""" eagle -",-12.969525092978847,don't agree,-12.151280937421069
2496,""" early-morning",-12.969525092978847,job .,-12.151464094601193
2497,""" early-morning searches",-12.969525092978847,hearing,-12.1516913250042
2498,""" easily",-12.969525092978847,careful,-12.151817408724648
2499,""" easily accessible",-12.969525092978847,marines,-12.152131910480938
2500,""" easy prescriptions",-12.969525092978847,juul,-12.152445057827972
2501,""" ebic",-12.969525092978847,"trash ,",-12.152533910832544
2502,""" ebic tails",-12.969525092978847,just people,-12.152559728636692
2503,""" edm",-12.969525092978847,keeping,-12.152579863678438
2504,""" edm """,-12.969525092978847,edgy,-12.15264172501626
2505,""" educate girls",-12.969525092978847,👍,-12.153116094217907
2506,""" efforts",-12.969525092978847,crime,-12.153261879067538
2507,""" efforts stalinist",-12.969525092978847,personally,-12.153279313547902
2508,""" egg",-12.969525092978847,games .,-12.15353321010492
2509,""" egg funnily",-12.969525092978847,💁,-12.153731621791175
2510,""" elneny",-12.969525092978847,obvious,-12.154170622446891
2511,""" elneny available",-12.969525092978847,it's fine,-12.154387771488516
2512,""" emotional",-12.969525092978847,tips,-12.15477794677882
2513,""" emotional support",-12.969525092978847,bears,-12.155089884442123
2514,""" encounters",-12.969525092978847,enjoying,-12.155224808879378
2515,""" encounters evil",-12.969525092978847,does make,-12.155390736622651
2516,""" end postdoc",-12.969525092978847,pages,-12.155439725125122
2517,""" end year",-12.969525092978847,does ?,-12.155493484787211
2518,""" engaged",-12.969525092978847,""" hey",-12.155535806853129
2519,""" engaged power",-12.969525092978847,regularly,-12.155560455674207
2520,""" enjoy",-12.969525092978847,basis,-12.155566562903552
2521,""" enjoy day",-12.969525092978847,disappointment,-12.155614773735678
2522,""" enlightenment",-12.969525092978847,thots,-12.15622103528708
2523,""" enlightenment .",-12.969525092978847,regardless,-12.156354155890563
2524,""" entrepreneurs",-12.969525092978847,theres,-12.15648183948881
2525,""" entrepreneurs """,-12.969525092978847,promote,-12.156486715327544
2526,""" equality ,",-12.969525092978847,‼ ️,-12.156753107921014
2527,""" eskeetit",-12.969525092978847,‼,-12.156753107921014
2528,""" eskeetit """,-12.969525092978847,"girls """,-12.156778085570792
2529,""" eskimo",-12.969525092978847,create,-12.156797623164874
2530,""" eskimo .",-12.969525092978847,report .,-12.157274521205949
2531,""" esskeetit",-12.969525092978847,typical,-12.157371564925553
2532,""" esskeetit """,-12.969525092978847,😑 😑,-12.15741914496522
2533,""" estay",-12.969525092978847,person planet,-12.157879341916932
2534,""" estay safe",-12.969525092978847,awkward,-12.158196447325444
2535,""" every-man",-12.969525092978847,vibe,-12.158930231001609
2536,""" every-man appeal",-12.969525092978847,dumb ass,-12.159154445696846
2537,""" everyone's pussies",-12.969525092978847,violence,-12.159713990367068
2538,""" everytime",-12.969525092978847,pure,-12.159733133266581
2539,""" everytime ask",-12.969525092978847,hero,-12.15973736615232
2540,""" evidence",-12.969525092978847,makes feel,-12.159746716739155
2541,""" evidence mrs",-12.969525092978847,tweet ?,-12.159775964264714
2542,""" evils",-12.969525092978847,lips,-12.159843523734109
2543,""" evils socialism",-12.969525092978847,lived,-12.159876954763572
2544,""" exact",-12.969525092978847,leftist,-12.16009474962032
2545,""" exact benefits",-12.969525092978847,magic,-12.160151245941655
2546,""" excuse",-12.969525092978847,thx,-12.160179109331684
2547,""" excuse ms",-12.969525092978847,feminism,-12.16020971946289
2548,""" exists",-12.969525092978847,white guys,-12.160258827187242
2549,""" exists """,-12.969525092978847,brother,-12.160495682211533
2550,""" exo",-12.969525092978847,victims,-12.160626524971526
2551,""" exols",-12.969525092978847,warning,-12.160676823017784
2552,""" exols going",-12.969525092978847,risk,-12.161401203714806
2553,""" expensive",-12.969525092978847,laundry,-12.161409063185227
2554,""" expensive cars",-12.969525092978847,waste time,-12.161742517453678
2555,""" experienced",-12.969525092978847,just make,-12.161761251026405
2556,""" experienced younger",-12.969525092978847,you're making,-12.16182636437378
2557,""" explain wage",-12.969525092978847,quote tweet,-12.162186166509466
2558,""" exposed",-12.969525092978847,responding,-12.162196013138376
2559,""" exposed breast",-12.969525092978847,poc,-12.162441691152209
