,accuser_username,subtweet_evidence,subtweet_evidence_id,subtweeter_username,alleged_subtweet,alleged_subtweet_id
2881,HPbasketball,@KingOfThornton Adams not at his computer he’s not reading your subtweet,951297504695304192,KingOfThornton,Plumlee is a +4....Jokic is a -6,951297324973621248
2882,mca923,"@CeliaAlicata You’d never subtweet me, you would directly call me out in a phone call. No one wants to read threads over 7.",951296311235620874,CeliaAlicata,"Make Twitter brief again. These long posts y'all, and all this thread stuff. #smh",951291526285549571
2883,TRAPG0DD3SS,@CodyLightfoot This a subtweet?,951295113271169024,CodyLightfoot,"BAD THANG
FINE AS HELL
THICK AS FUCK
OH MY GOD",950972730161139712
2884,a_kanjere,"@Hatfulofhistory @hpstorian Sheesh, thanks for the subtweet Evan",951292143246585856,hpstorian,"Writers! (of any stripe)

What is the best piece of advice you ever received about writing?",951261727303200768
2885,EllisKillian,@Ash_rezk Say it to my face don’t subtweet,951288024431845376,Ash_rezk,Lost to many brothers to the core,951244917854138369
2886,lolarkangyle,@Sacrleh That’s a hell of a subtweet,951287703991083009,Sacrleh,When you know someone is complete trash and you see other people interacting with them but you can't say anything... :(,951241775229779968
2887,caraberny,@maleeeeky don't subtweet our president dang,951287672382701569,maleeeeky,When you know someone life is trash but they be postin on social media tryna front 👀🙄,951284605826498560
2888,squallluis,@shawnxmadden Don’t subtweet me!,951281472635203584,shawnxmadden,"If you think Marvel Studios is only making [insert film] because of [insert film], that's just silly and not how Feige works.",951264141024509952
2889,Odon_US,@adothop Thanks for the subtweet.,951280721091596288,adothop,Me? Following random RT employees cause I think they’re cute? More likely than you think,951133317650419712
2890,Unfamilliarr,@xvxcejai This is a subtweet,951277827806171136,xvxcejai,Tonight is just not the night first my mom and now this but I’m getting a dog tomorrow and his name is fig,951271708887060481
2891,DanKoboldt,@DunneWriting Holy subtweet!,951277528634806272,DunneWriting,I'm having a very emotional reaction and it sucks because I'm so hungry so really I kind of just want to cry,951276107843719168
2892,kristenhorneff,@kemx0 Don’t subtweet carrie when she doesn’t even have a twitter that’s just mean,951276383703007232,kemx0,Are you today’s date cause you’re 1/10,951248940980109313
2893,valeriestewart_,@katiestewart28 What’s this??? An immature subtweet???? Interesting lol,951275739768336384,katiestewart28,😡just you’re name makes me furious🙃,950162603447373825
2894,Reherman_daion,@Kait_S_C Okay subtweet??? 💋 I LOVE YOU,951274586963881984,Kait_S_C,Yay I’m in Dai’s avi I luv her,951160472463659008
2895,srahlo,@Ty_Cal don’t subtweet me like this!!!,951273654112980992,Ty_Cal,I wonder how many calories people burn when they keep running their mouth 🤔,951268442027577344
2896,lastcartridge,@lizsicle i hope this is not a subtweet of me I backed off very readily,951270094184759298,lizsicle,"*logs on to Twitter*

*makes a fun comment*

*gets told why my fun comment is wrong*

*logs off again*",951269981311905792
2897,MnNiceFC,"@MNorthStar82 Vicious @natepentz subtweet, Adam",951269744606433280,MNorthStar82,"We’ve officially hit cold-calls-from-realtors-asking-if-we’d-sell levels of crazy in this housing market. 👀

#StPaul #midway",951254646726774784
2898,therealrrp0,@samdepaola @yoitsgiannaa Lmfaoo is this a subtweet to BJ?,951269702864723968,yoitsgiannaa,Bad little bitch name was Bella,951265388737777665
